"";"Timestep";"DVS";"W";"dW";"LAI";"WRoots";"WLeaves";"WStems";"WStorageOrgans";"FRoot";"FLeaves";"FStems";"FStorageOrgans";"FAll";"TRANRF";"froot";"fshoot"
"60";59;1,00925;367,052006550365;5,29662264083856;2,19112746536847;87,250948837269;115,01137564395;157,631230715898;6,65845135324776;0,02384375;0;0;0,97615625;1;0,3;1,25;0,97615625
"61";60;1,02619117647059;372,348629191204;5,81794296123566;2,12539364140742;87,3772401833615;115,01137564395;157,631230715898;11,8287826479938;0,0217261029411765;0;0;0,978273897058824;1;0,3;1,25;0,978273897058824
"62";61;1,04313235294118;378,166572152439;8,38647494447653;2,06163183216519;87,5036414110432;115,01137564395;157,631230715898;17,5203243815478;0,0196084558823529;0;0;0,980391544117647;1;0,3;1,25;0,980391544117647
"63";62;1,06072058823529;386,553047096916;3,74630006505556;1,99978287720024;87,6680872350004;115,01137564395;157,631230715898;25,7423535020671;0,0174099264705882;0;0;0,982590073529412;1;0,3;1,25;0,982590073529412
"64";63;1,07566176470588;390,299347161971;7,78015800642226;1,93978939088423;87,7333100436698;115,01137564395;157,631230715898;29,4234307584533;0,0155422794117647;0;0;0,984457720588235;1;0,3;1,25;0,984457720588235
"65";64;1,09254411764706;398,079505168394;4,77907080160545;1,8815957091577;87,8542314332733;115,01137564395;157,631230715898;37,0826673752721;0,0134319852941176;0;0;0,986568014705882;1;0,3;1,25;0,986568014705882
"66";65;1,11089705882353;402,858575969999;13,2180588799142;1,82514783788297;87,918423842;115,01137564395;157,631230715898;41,7975457681508;0,00891029411764703;0;0;0,991089705882353;1;1;1;0,991089705882353
"67";66;1,12819117647059;416,076634849913;21,1757824364955;1,77039340274648;88,0362006342844;115,01137564395;157,631230715898;54,8978278557806;0,00718088235294114;0;0;0,992819117647059;1;1;1;0,992819117647059
"68";67;1,14230882352941;437,252417286409;27,511366009939;1,71728160066409;88,1882614366924;115,01137564395;157,631230715898;75,9215494898681;0,00576911764705879;0;0;0,994230882352941;1;1;1;0,994230882352941
"69";68;1,15848529411765;464,763783296348;21,287082999014;1,66576315264417;88,346977743835;115,01137564395;157,631230715898;103,274199192664;0,00415147058823526;0;0;0,995848529411765;1;1;1;0,995848529411765
"70";69;1,17548529411765;486,050866295362;29,4937299825028;1,61579025806484;88,4353504428147;115,01137564395;157,631230715898;124,472909492699;0,00245147058823527;0;0;0,997548529411765;1;1;1;0,997548529411765
"71";70;1,19348529411765;515,544596277864;15,0223863243107;1,5673165503229;88,5076534544042;115,01137564395;157,631230715898;153,894336463612;0,000651470588235271;0;0;0,999348529411765;1;1;1;0,999348529411765
"72";71;1,21230882352941;530,566982602175;4,56696736561412;1,52029705381321;88,5174400972596;115,01137564395;157,631230715898;168,906936145067;0;0;0;1;1;1;1;1
"73";72;1,22554411764706;535,133949967789;14,5681608681923;1,47468814219881;88,5174400972596;115,01137564395;157,631230715898;173,473903510681;0;0;0;1;1;1;1;1
"74";73;1,23942647058824;549,702110835982;17,2169330154067;1,43044749793285;88,5174400972596;115,01137564395;157,631230715898;188,042064378874;0;0;0;1;1;1;1;1
"75";74;1,25307352941176;566,919043851388;16,5415565918144;1,38753407299486;88,5174400972596;115,01137564395;157,631230715898;205,25899739428;0;0;0;1;1;1;1;1
"76";75;1,27119117647059;583,460600443203;9,10241123155239;1,34590805080502;88,5174400972596;115,01137564395;157,631230715898;221,800553986095;0;0;0;1;1;1;1;1
"77";76;1,28548529411765;592,563011674755;11,7849077872567;1,30553080928087;88,5174400972596;115,01137564395;157,631230715898;230,902965217647;0;0;0;1;1;1;1;1
"78";77;1,29530882352941;604,347919462012;19,4665535962538;1,26636488500244;88,5174400972596;115,01137564395;157,631230715898;242,687873004904;0;0;0;1;1;1;1;1
"79";78;1,30489705882353;623,814473058266;13,6345116483553;1,22837393845237;88,5174400972596;115,01137564395;157,631230715898;262,154426601158;0;0;0;1;1;1;1;1
"80";79;1,31625;637,448984706621;6,10000088563052;1,1915227202988;88,5174400972596;115,01137564395;157,631230715898;275,788938249513;0;0;0;1;1;1;1;1
"81";80;1,32877941176471;643,548985592251;8,69884091223517;1,15577703868983;88,5174400972596;115,01137564395;157,631230715898;281,888939135144;0;0;0;1;1;1;1;1
"82";81;1,34177941176471;652,247826504487;15,4689208144961;1,12110372752914;88,5174400972596;115,01137564395;157,631230715898;290,587780047379;0;0;0;1;1;1;1;1
"83";82;1,36036764705882;667,716747318983;13,5574399789597;1,08747061570326;88,5174400972596;115,01137564395;157,631230715898;306,056700861875;0;0;0;1;1;1;1;1
"84";83;1,37572058823529;681,274187297942;7,44332176443428;1,05484649723217;88,5174400972596;115,01137564395;157,631230715898;319,614140840835;0;0;0;1;1;1;1;1
"85";84;1,38825;688,717509062377;9,4845703455054;1,0232011023152;88,5174400972596;115,01137564395;157,631230715898;327,057462605269;0;0;0;1;1;1;1;1
"86";85;1,39954411764706;698,202079407882;10,4819974664059;0,992505069245745;88,5174400972596;115,01137564395;157,631230715898;336,542032950774;0;0;0;1;1;1;1;1
"87";86;1,41195588235294;708,684076874288;10,1856904966564;0,962729917168373;88,5174400972596;115,01137564395;157,631230715898;347,02403041718;0;0;0;1;1;1;1;1
"88";87;1,42501470588235;718,869767370944;17,5755455907344;0,933848019653321;88,5174400972596;115,01137564395;157,631230715898;357,209720913837;0;0;0;1;1;1;1;1
"89";88;1,43907352941176;736,445312961678;17,5755995664138;0,905832579063722;88,5174400972596;115,01137564395;157,631230715898;374,785266504571;0;0;0;1;1;1;1;1
"90";89;1,45307352941176;754,020912528092;10,7166899463264;0,87865760169181;88,5174400972596;115,01137564395;157,631230715898;392,360866070985;0;0;0;1;1;1;1;1
"91";90;1,46630882352941;764,737602474419;14,1679379274649;0,852297873641056;88,5174400972596;115,01137564395;157,631230715898;403,077556017311;0;0;0;1;1;1;1;1
"92";91;1,47930882352941;778,905540401884;9,00846547425551;0,826728937431824;88,5174400972596;115,01137564395;157,631230715898;417,245493944776;0;0;0;1;1;1;1;1
"93";92;1,49113235294118;787,914005876139;10,2546164173252;0,801927069308869;88,5174400972596;115,01137564395;157,631230715898;426,253959419032;0;0;0;1;1;1;1;1
"94";93;1,50454411764706;798,168622293464;9,490073543301;0,777869257229603;88,5174400972596;115,01137564395;157,631230715898;436,508575836357;0;0;0;1;1;1;1;1
"95";94;1,52360294117647;807,658695836765;14,3206512983818;0,754533179512715;88,5174400972596;115,01137564395;157,631230715898;445,998649379658;0;0;0;1;1;1;1;1
"96";95;1,54572058823529;821,979347135147;13,7945142856239;0,731897184127334;88,5174400972596;115,01137564395;157,631230715898;460,31930067804;0;0;0;1;1;1;1;1
"97";96;1,56948529411765;835,773861420771;15,0739845299091;0,709940268603514;88,5174400972596;115,01137564395;157,631230715898;474,113814963663;0;0;0;1;1;1;1;1
"98";97;1,59442647058824;850,84784595068;15,6839029996823;0,688642060545408;88,5174400972596;115,01137564395;157,631230715898;489,187799493573;0;0;0;1;1;1;1;1
"99";98;1,61407352941176;866,531748950362;11,7670352981711;0,667982798729046;88,5174400972596;115,01137564395;157,631230715898;504,871702493255;0;0;0;1;1;1;1;1
"100";99;1,63172058823529;878,298784248534;6,55928287369374;0,647943314767175;88,5174400972596;115,01137564395;157,631230715898;516,638737791426;0;0;0;1;1;1;1;1
"101";100;1,64583823529412;884,858067122227;8,54309069104372;0,62850501532416;88,5174400972596;115,01137564395;157,631230715898;523,19802066512;0;0;0;1;1;1;1;1
"102";101;1,66236764705882;893,401157813271;10,5751970767666;0,609649864864435;88,5174400972596;115,01137564395;157,631230715898;531,741111356164;0;0;0;1;1;1;1;1
"103";102;1,67777941176471;903,976354890038;10,7145725571444;0,591360368918502;88,5174400972596;115,01137564395;157,631230715898;542,31630843293;0;0;0;1;1;1;1;1
"104";103;1,69272058823529;914,690927447182;3,63021294292771;0,573619557850947;88,5174400972596;115,01137564395;157,631230715898;553,030880990074;0;0;0;1;1;1;1;1
"105";104;1,70413235294118;918,32114039011;5,21769620799719;0,556410971115418;88,5174400972596;115,01137564395;157,631230715898;556,661093933002;0;0;0;1;1;1;1;1
"106";105;1,71772058823529;923,538836598107;10,6712453847733;0,539718641981956;88,5174400972596;115,01137564395;157,631230715898;561,878790140999;0;0;0;1;1;1;1;1
"107";106;1,73307352941176;934,21008198288;9,84958641081253;0,523527082722497;88,5174400972596;115,01137564395;157,631230715898;572,550035525773;0;0;0;1;1;1;1;1
"108";107;1,75183823529412;944,059668393693;9,49503398521567;0,507821270240822;88,5174400972596;115,01137564395;157,631230715898;582,399621936585;0;0;0;1;1;1;1;1
"109";108;1,76913235294118;953,554702378909;5,81699835993036;0,492586632133598;88,5174400972596;115,01137564395;157,631230715898;591,894655921801;0;0;0;1;1;1;1;1
"110";109;1,78507352941177;959,371700738839;2,82215042132936;0,47780903316959;88,5174400972596;115,01137564395;157,631230715898;597,711654281731;0;0;0;1;1;1;1;1
"111";110;1,79736764705882;962,193851160168;6,49562764791654;0,463474762174502;88,5174400972596;115,01137564395;157,631230715898;600,533804703061;0;0;0;1;1;1;1;1
"112";111;1,80695588235294;968,689478808085;8,24386151290457;0,449570519309267;88,5174400972596;115,01137564395;157,631230715898;607,029432350977;0;0;0;1;1;1;1;1
"113";112;1,81701470588235;976,933340320989;10,2928249595703;0,436083403729989;88,5174400972596;115,01137564395;157,631230715898;615,273293863882;0;0;0;1;1;1;1;1
"114";113;1,82972058823529;987,22616528056;2,4512558682685;0,423000901618089;88,5174400972596;115,01137564395;157,631230715898;625,566118823452;0;0;0;1;1;1;1;1
"115";114;1,84266176470588;989,677421148828;8,3410787774309;0,410310874569547;88,5174400972596;115,01137564395;157,631230715898;628,017374691721;0;0;0;1;1;1;1;1
"116";115;1,85683823529412;998,018499926259;9,35630113911936;0,39800154833246;88,5174400972596;115,01137564395;157,631230715898;636,358453469151;0;0;0;1;1;1;1;1
"117";116;1,87266176470588;1007,37480106538;9,42491762462553;0,386061501882486;88,5174400972596;115,01137564395;157,631230715898;645,714754608271;0;0;0;1;1;1;1;1
"118";117;1,89177941176471;1016,79971869;7,1215739445769;0,374479656826012;88,5174400972596;115,01137564395;157,631230715898;655,139672232896;0;0;0;1;1;1;1;1
"119";118;1,91266176470588;1023,92129263458;1,74294931553084;0,363245267121231;88,5174400972596;115,01137564395;157,631230715898;662,261246177473;0;0;0;1;1;1;1;1
"120";119;1,92660294117647;1025,66424195011;1,4362332906276;0,352347909107595;88,5174400972596;115,01137564395;157,631230715898;664,004195493004;0;0;0;1;1;1;1;1
"121";120;1,93901470588235;1027,10047524074;0,529458271677;0,341777471834367;88,5174400972596;115,01137564395;157,631230715898;665,440428783632;0;0;0;1;1;1;1;1
"122";121;1,95077941176471;1027,62993351242;1,30715950363716;0,331524147679336;88,5174400972596;115,01137564395;157,631230715898;665,969887055309;0;0;0;1;1;1;1;1
"123";122;1,96548529411765;1028,93709301605;6,38711089720962;0,321578423248956;88,5174400972596;115,01137564395;157,631230715898;667,277046558946;0;0;0;1;1;1;1;1
"124";123;1,98025;1035,32420391326;6,31990764758102;0,311931070551487;88,5174400972596;115,01137564395;157,631230715898;673,664157456155;0;0;0;1;1;1;1;1
"125";124;1,99495588235294;1041,64411156084;6,6617630347406;0,302573138434942;88,5174400972596;115,01137564395;157,631230715898;679,984065103736;0;0;0;1;1;1;1;1
"126";125;2,01077941176471;1048,30587459558;0;0,293495944281894;88,5174400972596;115,01137564395;157,631230715898;686,645828138477;0;0;0;0;0;0;0;0
