"";"Timestep";"DVS";"W";"LAI";"dW"
"1";0;0;10;0,12;1,95677630596746
"2";1;0,0126875;11,9567763059675;0,130962;2,78251228705836
"3";2;0,0281875;14,7392885930258;0,1455773592;2,69706148333682
"4";3;0,047125;17,4363500763627;0,16542683212692;3,60656711664769
"5";4;0,0678125;21,0429171930103;0,190067158772225;4,30588692441013
"6";5;0,0875625;25,3488041174205;0,217094708749635;4,89307199497895
"7";6;0,106875;30,2418761123994;0,247281728001272;3,77994614610733
"8";7;0,121125;34,0218222585068;0,272652833294202;3,75598624428314
"9";8;0,1299375;37,7778085027899;0,289952655566719;6,24929389011152
"10";9;0,14;44,0271023929014;0,310959725462528;6,6369270675386
"11";10;0,1491875;50,66402946044;0,331529711301874;7,21766799358664
"12";11;0,1575;57,8816974540267;0,351371764523292;7,89834855146607
"13";12;0,1718125;65,7800460054927;0,387580624857417;7,25534539665689
"14";13;0,1885625;73,0353914021496;0,434322848215221;7,43388696144614
"15";14;0,20875;80,4692783635957;0,497451674203304;9,21103363860147
"16";15;0,2314375;89,6803120021972;0,578710405184413;11,6985860263991
"17";16;0,252;101,378898028596;0,664388480671966;13,1391963048539
"18";17;0,27175;114,51809433345;0,758864522623519;14,7728393571766
"19";18;0,2920625;129,290933690627;0,854887978445167;15,1448499866856
"20";19;0,3113125;144,435783677312;0,953329503358624;19,3922610127204
"21";20;0,326875;163,828044690033;1,07937919994131;20,8568409365938
"22";21;0,3413125;184,684885626627;1,21494866602917;23,0938007052999
"23";22;0,356;207,778686331927;1,36505837061362;24,0861043227827
"24";23;0,3705;231,864790654709;1,5216180487117;21,1388767069354
"25";24;0,3874375;253,003667361645;1,65902074730678;23,2534768114406
"26";25;0,406875;276,257144173085;1,81016834658115;25,0436773067965
"27";26;0,4225625;301,300821479882;1,97295224907532;6,7338942278769
"28";27;0,4388125;308,034715707759;2,01672256155652;14,976379897329
"29";28;0,4535;323,011095605088;2,11406903088916;6,47606112538542
"30";29;0,466125;329,487156730473;2,15616342820417;16,1823541593007
"31";30;0,484125;345,669510889774;2,26134873023962;17,3322245174549
"32";31;0,4996875;363,001735407229;2,37400818960308;20,2024704017146
"33";32;0,51525;383,204205808943;2,50532424721422;17,5103812999694
"34";33;0,534;400,714587108913;2,61914172566403;21,558428062939
"35";34;0,5506875;422,273015171852;2,75927150807313;26,5184608020049
"36";35;0,563875;448,791475973857;2,93164150328616;10,8885509054073
"37";36;0,5765625;459,680026879264;3,00241708417131;12,0809377703674
"38";37;0,5873125;471,760964649631;3,0809431796787;32,3641312349943
"39";38;0,601875;504,125095884626;3,29131003270616;15,6437372680257
"40";39;0,6204375;519,768833152651;3,39299432494833;25,554604691749
"41";40;0,64125;545,3234378444;3,5590992554447;31,7976109087092
"42";41;0,6634375;577,12104875311;3,76578372635131;27,2513391284304
"43";42;0,6860625;604,37238788154;3,9429174306861;20,6983134723576
"44";43;0,707;625,070701353898;4,07745646825643;34,3687725620317
"45";44;0,7295625;659,439473915929;4,30085348990963;30,2494332072159
"46";45;0,7531875;689,688907123145;4,49747480575654;34,581387037101
"47";46;0,7733125;724,270294160246;4,72225382149769;16,0302943108808
"48";47;0,7901875;740,300588471127;4,82645073451842;6,12134574759507
"49";48;0,802875;746,421934218722;4,86623948187779;11,5654002468164
"50";49;0,8129375;757,987334465539;4,94141458348209;36,2760278117445
"51";50;0,8245625;794,263362277283;5,17720876425843;22,7688080755431
"52";51;0,8405;817,032170352826;5,32520601674946;15,8230476424392
"53";52;0,8558125;832,855217995265;5,42805582642532;27,9246141833111
"54";53;0,8744375;860,779832178576;5,60956581861684;19,6285691356924
"55";54;0,893625;880,408401314269;5,73715151799884;21,6094245597302
"56";55;0,9145;902,017825873999;5,87761277763709;31,0802914753418
"57";56;0,936;933,098117349341;6,07963467222681;36,3993778340846
"58";57;0,957375;969,497495183425;6,31623062814836;31,652102391426
"59";58;0,982625;1001,14959757485;6,52196929369263;36,9748757968971
"60";59;1,00925;1038,12447337175;6,76230598637246;22,3135395543044
"61";60;1,02619117647059;1060,43801292605;6,70447481388426;24,822257839872
"62";61;1,04313235294118;1085,26027076592;6,6646852454269;36,2544009567984
"63";62;1,06072058823529;1121,51467172272;6,70039829428329;16,4236054099781
"64";63;1,07566176470588;1137,9382771327;6,60613978061964;34,5717124126518
"65";64;1,09254411764706;1172,50998954535;6,63267171788329;21,5502923530002
"66";65;1,11089705882353;1194,06028189835;6,57376846664129;18,1415371533675
"67";66;1,12819117647059;1212,20181905172;6,49447540413894;29,4917922893156
"68";67;1,14230882352941;1241,69361134104;6,49133779189533;38,9154258635753
"69";68;1,15848529411765;1280,60903720461;6,54954792625171;30,6069340704274
"70";69;1,17548529411765;1311,21597127504;6,55200655992193;43,101895255246
"71";70;1,19348529411765;1354,31786653029;6,63560868228338;22,3336852428794
"72";71;1,21230882352941;1376,65155177316;6,58170937589359;6,90289634568514
"73";72;1,22554411764706;1383,55444811885;6,42912692086374;22,3768815761517
"74";73;1,23942647058824;1405,931329695;6,38170284348281;26,9035737865934
"75";74;1,25307352941176;1432,83490348159;6,36512498779118;26,3106906201684
"76";75;1,27119117647059;1459,14559410176;6,34519072718854;14,7412876538081
"77";76;1,28548529411765;1473,88688175557;6,25065337512264;19,4257431929528
"78";77;1,29530882352941;1493,31262494852;6,18940110462315;32,6779094369136
"79";78;1,30489705882353;1525,99053438544;6,2161254828244;23,3343280136007
"80";79;1,31625;1549,32486239904;6,18131485042807;10,6403000999942
"81";80;1,32877941176471;1559,96516249903;6,06503735556519;15,4569110097094
"82";81;1,34177941176471;1575,42207350874;5,98355615646134;28,0156792027578
"83";82;1,36036764705882;1603,4377527115;5,98615138658543;25,0552691238528
"84";83;1,37572058823529;1628,49302183535;5,96942609429291;14,0375985498553
"85";84;1,38825;1642,53062038521;5,88158770203818;18,2436216336852
"86";85;1,39954411764706;1660,77424201889;5,82372361159599;20,5753170591217
"87";86;1,41195588235294;1681,34955907802;5,7827514641324;20,412180807967
"88";87;1,42501470588235;1701,76173988598;5,74194809546021;35,9670148380529
"89";88;1,43907352941176;1737,72875472403;5,80347524904375;36,7844440699145
"90";89;1,45307352941176;1774,51319879395;5,86846987802688;22,9444458845692
"91";90;1,46630882352941;1797,45764467852;5,84155467993578;31,003382401867
"92";91;1,47930882352941;1828,46102708039;5,86783002514984;20,1654675291089
"93";92;1,49113235294118;1848,62649460949;5,82287066333455;23,4670856898459
"94";93;1,50454411764706;1872,09358029934;5,80072060041851;22,2125701371588
"95";94;1,52360294117647;1894,3061504365;5,77108068829749;34,2869561071001
"96";95;1,54572058823529;1928,5931065436;5,82081348234471;33,8238664874811
"97";96;1,56948529411765;1962,41697303108;5,866044210043;37,8572602136657
"98";97;1,59442647058824;2000,27423324475;5,93613507513054;40,3624266621238
"99";98;1,61407352941176;2040,63665990687;6,02040679618043;31,0400137732899
"100";99;1,63172058823529;2071,67667368016;6,0415546818214;17,7264658382671
"101";100;1,64583823529412;2089,40313951843;5,97553006931549;23,6357791638501
"102";101;1,66236764705882;2113,03891868228;5,94989673180105;29,9702340912725
"103";102;1,67777941176471;2143,00915277355;5,96620635144029;31,1240917652275
"104";103;1,69272058823529;2174,13324453878;5,98952675737106;10,8113005318289
"105";104;1,70413235294118;2184,94454507061;5,88011440810682;15,91030798403
"106";105;1,71772058823529;2200,85485305464;5,80712797775981;33,3342085006495
"107";106;1,73307352941176;2234,18906155529;5,84958649368123;31,5670837769785
