"";"DVS";"W";"dW";"LAI";"WRoots";"WLeaves";"WStems";"WStorageOrgans";"FRoot";"FLeaves";"FStems";"FStorageOrgans"
"61";1,02619117647059;804,117821071417;7,34076359222263;5,37345982473687;142,504540903935;282,437467568148;363,905691074246;14,7701215250886;0,0217261029411765;0;0;0,978273897058824
"62";1,04313235294118;811,45858466364;10,6939311483246;5,21225602999476;142,664027089406;282,437467568148;363,905691074246;21,9513989318397;0,0196084558823529;0;0;0,980391544117647
"63";1,06072058823529;822,152515811964;4,82834916722661;5,05588834909492;142,873718566537;282,437467568148;363,905691074246;32,4356386030335;0,0174099264705882;0;0;0,982590073529412
"64";1,07566176470588;826,980864979191;10,1360410133498;4,90421169862207;142,957779770513;282,437467568148;363,905691074246;37,1799265662843;0,0155422794117647;0;0;0,984457720588235
"65";1,09254411764706;837,116905992541;6,29428692180682;4,75708534766341;143,115316952071;282,437467568148;363,905691074246;47,1584303980755;0,0134319852941176;0;0;0,986568014705882
"66";1,11089705882353;843,411192914348;17,6005756120049;4,61437278723351;143,199861721442;282,437467568148;363,905691074246;53,3681725505116;0,00891029411764703;0;0;0,991089705882353
"67";1,12819117647059;861,011768526353;28,5089701828805;4,4759416036165;143,356688026785;282,437467568148;363,905691074246;70,8119218571737;0,00718088235294114;0;0;0,992819117647059
"68";1,14230882352941;889,520738709233;37,4505086404517;4,34166335550801;143,561407587671;282,437467568148;363,905691074246;99,1161724791674;0,00576911764705879;0;0;0,994230882352941
"69";1,15848529411765;926,971247349685;29,3008249474405;4,21141345484277;143,77746397796;282,437467568148;363,905691074246;136,35062472933;0,00415147058823526;0;0;0,995848529411765
"70";1,17548529411765;956,272072297125;41,0506743502477;4,08507105119748;143,899105490941;282,437467568148;363,905691074246;165,52980816379;0,00245147058823527;0;0;0,997548529411765
"71";1,19348529411765;997,322746647373;21,1426543988812;3,96251891966156;143,999740011738;282,437467568148;363,905691074246;206,479847993241;0,000651470588235271;0;0;0,999348529411765
"72";1,21230882352941;1018,46540104625;6,49944191433076;3,84364335207171;144,013513829236;282,437467568148;363,905691074246;227,608728574624;0;0;0;1
"73";1,22554411764706;1024,96484296058;20,9639320665003;3,72833405150956;144,013513829236;282,437467568148;363,905691074246;234,108170488955;0;0;0;1
"74";1,23942647058824;1045,92877502709;25,0513337020497;3,61648402996427;144,013513829236;282,437467568148;363,905691074246;255,072102555455;0;0;0;1
"75";1,25307352941176;1070,98010872913;24,3355296877212;3,50798950906535;144,013513829236;282,437467568148;363,905691074246;280,123436257505;0;0;0;1
"76";1,27119117647059;1095,31563841686;13,5390416145703;3,40274982379339;144,013513829236;282,437467568148;363,905691074246;304,458965945226;0;0;0;1
"77";1,28548529411765;1108,85468003143;17,7213976014298;3,30066732907958;144,013513829236;282,437467568148;363,905691074246;317,998007559797;0;0;0;1
