Time \ Name,DVS,LAI,dW,W,WLeaves
117,1.8918,1.0291,15.8562,2299.8382,307.3667
118,1.9127,0.9982,3.9031,2315.6944,307.3667
119,1.9266,0.9682,3.2345,2319.5975,307.3667
120,1.939,0.9392,1.1989,2322.832,307.3667
121,1.9508,0.911,2.9759,2324.0309,307.3667
122,1.9655,0.8837,14.6171,2327.0068,307.3667
123,1.9803,0.8572,14.5371,2341.6239,307.3667
124,1.995,0.8315,15.3997,2356.161,307.3667
125,2.0108,0.8065,0,2371.5607,307.3667
126,2.0274,0.7823,0,2371.5607,307.3667
127,2.046,0.7589,0,2371.5607,307.3667
